name_korean,name_english,share,region_name_korean,region_name_english
알리아니코,Aglianico,0.99,이탈리아,Italy
알바리뇨,Albarino(Alvarinho),0.68,스페인,Spain
알바리뇨,Albarino(Alvarinho),0.28,포르투갈,Portugal
아린토,Arinto,0.95,포르투갈,Portugal
바르베라,Barbera,0.8,이탈리아,Italy
바르베라,Barbera,0.06,미국,U.S.A
보나르다,Bonarda,0.95,이탈리아,Italy
카베르네 프랑,Cabernet Franc,0.73,프랑스,France
카베르네 프랑,Cabernet Franc,0.07,이탈리아,Italy
카베르네 소비뇽,Cabernet Sauvignon,0.2,프랑스,France
카베르네 소비뇽,Cabernet Sauvignon,0.1,칠레,Chile
카베르네 소비뇽,Cabernet Sauvignon,0.09,미국,U.S.A
카나이올로,Canaiolo,0.95,이탈리아,Italy
까리냥,Carignan/Carignane,0.62,프랑스,France
카르메네르,Carmenere,0.76,칠레,Chile
카르메네르,Carmenere,0.11,중국,China
샤르도네,Chardonnay,0.23,프랑스,France
샤르도네,Chardonnay,0.21,미국,U.S.A
슈냉 블랑,Chenin Blanc,0.52,남아프리카 공화국,Republic of South Africa
슈냉 블랑,Chenin Blanc,0.25,프랑스,France
콜로리노,Colorino,0.95,이탈리아,Italy
코르비나,Corvina,0.95,이탈리아,Italy
코르비노네,Corvinone,0.95,이탈리아,Italy
크로아티나,Croatina,0.95,이탈리아,Italy
가르가네가,Garganega,1,이탈리아,Italy
게뷔르츠트라미너,Gewurztraminer,0.22,프랑스,France
그르나슈,Grenache,0.5,프랑스,France
그르나슈,Grenache,0.37,스페인,Spain
말벡,Malbec,0.75,아르헨티나,Argentina
말벡,Malbec,0.13,프랑스,France
말바시아,Malvasia,0.95,이탈리아,Italy
마투라나 틴타,Maturana Tinta,0.95,스페인,Spain
멘시아,Mencia,0.76,스페인,Spain
멘시아,Mencia,0.24,포르투갈,Portugal
메를로,Merlot,0.46,프랑스,France
메를로,Merlot,0.07,미국,U.S.A
몬테풀치아노,Montepulciano,0.99,이탈리아,Italy
무르베드르,Mourvedre,0.8,스페인,Spain
무르베드르,Mourvedre,0.16,프랑스,France
네비올로,Nebbiolo,0.87,이탈리아,Italy
네로 다볼라,Nero d'Avola,0.99,이탈리아,Italy
오세레타,Oseleta,0.95,이탈리아,Italy
빠레야다,Parellada,0.95,스페인,Spain
쁘띠 쉬라,Petit Syrah,0.87,미국,U.S.A
쁘띠 베르도,Petit Verdot,0.2,스페인,Spain
쁘띠 베르도,Petit Verdot,0.17,프랑스,France
쁘띠 시라,Petite Sirah,0.87,미국,U.S.A
피노 그리,Pinot Gris,0.13,이탈리아,Italy
피노 그리,Pinot Gris,0.11,미국,U.S.A
피노 그리,Pinot Gris,0.06,독일,Germany
피노 누아,Pinot Noir,0.34,프랑스,France
피노 누아,Pinot Noir,0.18,미국,U.S.A
리슬링,Riesling,0.4,독일,Germany
루비 카베르네,Ruby Cabernet,0.95,미국,U.S.A
산지오베제,Sangiovese,0.87,이탈리아,Italy
소비뇽 블랑,Sauvignon Blanc,0.25,프랑스,France
소비뇽 블랑,Sauvignon Blanc,0.14,뉴질랜드,New Zealand
소비뇽 블랑,Sauvignon Blanc,0.11,칠레,Chile
세미용,Semillon,0.51,프랑스,France
세미용,Semillon,0.26,호주,Australia
시라/쉬라즈,Syrah/Shiraz,0.37,프랑스,France
시라/쉬라즈,Syrah/Shiraz,0.23,호주,Australia
템프라니요,Tempranillo,0.88,스페인,Spain
템프라니요,Tempranillo,0.05,포르투갈,Portugal
틴타 아마렐라,Tinta Amarela,0.95,포르투갈,Portugal
틴타 프란카,Tinta Franca,0.95,포르투갈,Portugal
틴토 까오,Tinto Cao,0.95,포르투갈,Portugal
투리가 프란카,Touriga Franca,0.95,포르투갈,Portugal
투리가 나시오날,Touriga Nacional,0.99,포르투갈,Portugal
베르디키오 비앙코,Verdicchio Bianco,0.95,이탈리아,Italy
베르딜,Verdil,0.95,스페인,Spain
베르멘티노,Vermentino,0.42,프랑스,France
베르멘티노,Vermentino,0.33,이탈리아,Italy
비오니에,Viognier,0.36,프랑스,France
비오니에,Viognier,0.34,호주,Australia
진판델,Zinfandel,0.6,미국,U.S.A
진판델,Zinfandel,0.25,이탈리아,Italy
