type,name_korean,name_english,alcohol,acidity,body,sweetness,tannin,serving_temperature,score,price,style,grade,importer,winery_name_korean,winery_name_english,region_name_korean,region_name_english
RED,"1881 나파, 카베르네 소비뇽","1881 Napa, Cabernet Sauvignon",14.5,3,4,1,4,17,90,200000,Californian Cabernet Sauvignon,,와인투유코리아,1881 나파,1881 Napa,나파 밸리,Napa Valley
RED,아하리,Ahari,14.5,3,3,1,3,17,94,190000,Spanish Red,,비노스와인,옥서 와인즈,Oxer Wines,리오하,Rioja
SPARKLING,"알프레드 그라티엔, 클래식 브뤼","Alfred Gratien, Classic Brut",12.5,4,1,1,1,7,92,190000,French Champagne,AOC(AOP),레드와인앤제이와이,알프레드 그라티엔,Alfred Gratien,샹빠뉴,Champagne
SPARKLING,"알프레드 그라티엔, 퀴베 파라다이스 브뤼","Alfred Gratien, Cuvee Paradis Brut",12.5,4,1,1,1,9,94,480000,French Champagne,AOC(AOP),레드와인앤제이와이,알프레드 그라티엔,Alfred Gratien,샹빠뉴,Champagne
SPARKLING,"알프레드 그라티엔, 밀레짐 브뤼","Alfred Gratien, Millesime Brut",12.5,4,1,1,1,9,92,340000,French Champagne,AOC(AOP),레드와인앤제이와이,알프레드 그라티엔,Alfred Gratien,샹빠뉴,Champagne
RED,"알레그리니, 팔라쪼 델라 토레","Allegrini, Palazzo Della Torre",13.5,3,4,1,3,17,89.8,100000,Northern Italy Red,,에노테카코리아,알레그리니,Allegrini,베네토,Veneto
RED,"알타 비스타, 아템포랄 블렌드","Alta Vista, Atemporal Blend",14.5,3,4,1,3,17,91.3,65000,,,레뱅,알타 비스타,Alta Vista,우코 밸리,Uco Valley
RED,"알타 비스타, 싱글 빈야드 테미스","Alta Vista, Single Vineyard Temis",14,4,4,1,4,17,95.5,176000,,,레뱅,알타 비스타,Alta Vista,우코 밸리,Uco Valley
WHITE,알루아도 샤도네이,Aluado Chardonnay,13.5,3,1,1,1,9,88.5,46000,,,레드와인앤제이와이,DFJ 비노스,DFJ Vinhos,포르투갈,Portugal
RED,"알바로 팔라시오스, 페탈로스","Alvaro Palacios, Petalos",13.5,3,3,1,3,16.5,92,66000,Spanish Mencia,DO(DOP),나라셀라,알바로 팔라시오스,Alvaro Palacios,비에르소,Bierzo
SPARKLING,"앙드레 끌루에, 브뤼 나뛰르 실버","Andre Clouet, Brut Nature Silver",12,5,3,1,1,7,90,89000,French Champagne,AOC(AOP),신세계엘앤비,앙드르 끌루에,Andre Clouet,샹빠뉴,Champagne
RED,"앤드류 윌, 샴푸 빈야드","Andrew Will, Champoux Vineyard",14.5,4,5,1,5,17,93,250000,Washington State Red Blend,AVA,와인투유코리아,앤드류 윌 와이너리,Andrew Will Winery,콜롬비아 밸리,Columbia Valley
RED,"앤드류 윌, 소렐라 레드 와인","Andrew will, Sorella Red Wine",14.5,4,5,1,4,17,96,450000,Washington State Red Blend,AVA,와인투유코리아,앤드류 윌 와이너리,Andrew Will Winery,콜롬비아 밸리,Columbia Valley
RED,"앤드류 윌, 투 블론즈 빈야드 레드 와인","Andrew Will, Two Blondes Vineyard Red Wine",14.5,3,4,1,5,17,91.8,200000,Washington State Red Blend,,와인투유코리아,앤드류 윌 와이너리,Andrew Will Winery,야키마 밸리,Yakima Valley
RED,앙또냉 귀용 볼네 프리미에 크뤼 끌로 데 셴느,Antonin Guyon Volnay Premier Cru Clos des Chenes,13,3,2,1,2,15,94,250000,,,레뱅,앙또넹 기용,Antonin Guyon [Domaine Antonin Guyon],꼬뜨 드 본,Côte de Beaune
RED,"아지엔다 아그리콜라 베라, 바르바레스코","Azienda Argicola Bera, Barbaresco",14.5,3,3,1,2,15,91.7,150000,Italian Nebbiolo,,유니베브,아지엔다 아그리콜라 베라,Azienda Agricola Bera,피에몬테,Piemonte
WHITE,"아소르스, 뷸카니코 블랑코","Azores, Vulcanico Branco",12.5,4,2,1,1,11,91,76000,,,나라셀라,아소르스 와인 컴퍼니,Azores Wine Company,아소르스,Azores
RED,"바넷 빈야즈, 카버네 소비뇽","Barnett Vineyards, Cabernet Sauvignon",14.5,3,5,1,5,17,92.3,310000,,AVA,나라셀라,바넷 빈야즈,Barnett Vineyards,나파 밸리,Napa Valley
RED,"바넷, 멀롯","Barnett Vineyards, Merlot",14.5,3,4,1,4,17,91,270000,,AVA,나라셀라,바넷 빈야즈,Barnett Vineyards,나파 밸리,Napa Valley
RED,"바스 필립, 크라운 프린스 피노누아","Bass Phillip, Crown Prince Pinot Noir",13.5,4,3,1,2,17,90,115000,Australian Pinot Noir,,신세계엘앤비,바스 필립,Bass Phillip,깁스랜드,Gippsland
WHITE,"바스 필립, 에스테이트 샤르도네","Bass Phillip, Estate Chardonnay",13.5,3,3,1,1,9,92,120000,Australian Chardonnay,,신세계엘앤비,바스 필립,Bass Phillip,깁스랜드,Gippsland
RED,"바스 필립, 에스테이트 피노누아","Bass Phillip, Estate Pinot Noir",13.5,4,3,1,2,17,91,150000,Australian Pinot Noir,,신세계엘앤비,바스 필립,Bass Phillip,깁스랜드,Gippsland
RED,"바스 필립, 프리미엄 피노 누아","Bass Phillip, Premium Pinot Noir",14.5,4,3,1,3,17,93,390000,Australian Pinot Noir,,신세계엘앤비,바스 필립,Bass Phillip,깁스랜드,Gippsland
RED,"바스 필립, 리저브 피노 누아","Bass Phillip, Reserve Pinot Noir",14.5,4,3,1,3,17,95,1300000,Australian Pinot Noir,,신세계엘앤비,바스 필립,Bass Phillip,깁스랜드,Gippsland
RED,"베드락, 헤리티지 레드와인","Bedrock, Heritage Red Wine",14.5,4,4,1,4,17,93,220000,Californian Zinfandel,,와인투유코리아,베드락 와인,Bedrock Wine,소노마 카운티,Sonoma County
RED,"베드락, 올드 바인 진판델","Bedrock, Old Vine Zinfandel",14.5,3,4,1,4,17,92,160000,Californian Zinfandel,,와인투유코리아,베드락 와인,Bedrock Wine,캘리포니아,California
RED,"벤 마르코, 익스프레시보","Ben Marco, Expresivo",14.5,3,4,1,4,17,94,160000,Argentinian Malbec,,하이트진로,벤 마르코,Ben Marco,우코 밸리,Uco Valley
RED,"벤 마르코, 신 리미테스 괄탈라리 말벡","Ben Marco, Sin Limites Gualtallary Marbec",14.5,3,4,1,4,17,97,125000,Argentinian Malbec,,하이트진로,벤 마르코,Ben Marco,우코 밸리,Uco Valley
SPARKLING,"비비 그라츠, 볼라마타","Bibi Graetz, Bollamatta",12,3,3,1,1,7,90.3,116000,,IGT(IGP),(주)와이넬,비비 그라츠,Bibi Graetz,토스카나,Toscana
RED,블랙 스탈리온 까베르네 소비뇽,Black Stallion Cabernet Sauvignon,14.5,3,5,1,5,17,92.4,140000,Californian Cabernet Sauvignon,AVA,레뱅,델리카토 패밀리 빈야드,Delicato Family Vineyards - DFV,나파 밸리,Napa Valley
WHITE,"블랙 스탈리온, 리미티드 릴리즈 포세이돈 샤르도네","Black Stallion, Limited Release Poseidon Chardonnay",14.5,4,3,1,1,9,92,150000,,,레뱅,델리카토 패밀리 빈야드,Delicato Family Vineyards - DFV,나파 밸리,Napa Valley
FORTIFIED,"브리스데일, 더 와이즈 원 타우니 NV","Bleasdale, The Wise One Tawny NV",18.5,3,4,4,2,11,90,52000,Portuguese Port,,엘비,브리스데일,Bleasdale,랭혼 크릭,Langhorne Creek
WHITE,"보데가 차크라, 마인케 샤르도네","Bodega Chacra, Mainque Chardonnay",13.5,3,3,1,1,11,94,242000,,,에노테카코리아,보데가 차크라,Bodega Chacra,파타고니아,Patagonia
RED,"보데가 이 비네도스 산 폴로, 아우카 클래식 말벡","Bodega y Vinedos San Polo, Auka Classic Malbec",13.5,3,4,1,4,17,90,30000,Argentinian Malbec,,가자주류,보데가 이 비네도스 산 폴로,Bodega y Vinedos San Polo,우코 밸리,Uco Valley
WHITE,"보데가스 까레, 블랑코 소브레 리아스","Bodegas Care, Blanco Sobre Lias",13,4,3,1,1,9,90,25000,,,레뱅,보데가스 카레,Bodegas Care,까리네냐,Carinena
RED,"보데가스 까로, 아만카야","Bodegas Caro, Amancaya",14.5,2,4,1,4,17,92.5,50000,,,인터리커,카로 [보데가스 카로],Caro [Bodegas Caro],멘도사,Mendoza
RED,"보데가스 까로, 아루마","Bodegas Caro, Aruma",14.5,2,3,1,4,17,91,29000,Argentinian Malbec,,인터리커,카로 [보데가스 카로],Caro [Bodegas Caro],멘도사,Mendoza
RED,"보데가스 무가, 아로","Bodegas Muga, Aro",14.5,4,5,1,5,17,96.6,500000,Spanish Red,AOC(AOP),레뱅,무가,Muga [Bodegas Muga],리오하,Rioja
WHITE,"보데가스 무가, 블랑코","Bodegas Muga, Blanco",13.5,4,3,1,1,11,91,65000,Spanish Rioja White,AOC(AOP),레뱅,무가,Muga [Bodegas Muga],리오하,Rioja
RED,"보데가스 무가, 프라도 에네아 그랑 레세르바","Bodegas Muga, Prado Enea Grand Reserva",14.5,3,4,1,4,17,95.4,250000,Spanish Red,AOC(AOP),레뱅,무가,Muga [Bodegas Muga],리오하,Rioja
RED,"보데가스 무가, 리제르바 셀렉시옹 에스페시알","Bodegas Muga, Reserva Selection Especial",14.5,4,5,1,4,16,94.2,140000,Spanish Red,,레뱅,무가,Muga [Bodegas Muga],리오하,Rioja
RED,"보데가스 무가, 또레 무가","Bodegas Muga, Torre Muga",14.5,3,4,1,4,17,94.2,330000,Spanish Red,,레뱅,무가,Muga [Bodegas Muga],리오하,Rioja
WHITE,"보데가스 넬레만, 저스트 화이트","Bodegas Neleman, Just Good Wine White",13.5,3,1,1,1,9,87,42000,,,리바인,보데가스 넬레만,Bodegas Neleman,발렌시아,Valencia
RED,"보글, 쁘띠 시라","Bogle, Petite Sirah",13.5,3,4,1,3,16,90,100000,Californian Petite Sirah,AVA,동원와인플러스,보글 빈야드,Bogle Vineyards,캘리포니아,California
SPARKLING,"볼랭저, 스페셜 뀌베 브뤼","Bollinger, Special Cuvee Brut",12,4,4,1,1,7,93,196000,French Champagne,AOC(AOP),신동와인,볼랭저,Bollinger,샹빠뉴,Champagne
RED,"본드, 세인트 이든","Bond, Saint Eden",14.5,4,5,1,4,17,97.4,2017000,Californian Cabernet Sauvignon,AVA,크리스탈와인,본드 에스테이트,Bond Estates,나파 밸리,Napa Valley
RED,"브란콧 에스테이트, 말보로 레터 'T' 피노누아","Brancott Estate, Marlborough Letter 'T' Pinot Noir",13.5,4,2,1,1,15,90,60000,New Zealand Pinot Noir,,가자주류,브란콧 이스테이트,Brancott Estate,말보로,Marlborough
RED,"브루어 클리프턴, 산타 리타 힐스 피노 누아","Brewer-Clifton, Sta. Rita Hills Pinot Noir",14.5,3,3,1,3,15,91.3,285000,,AVA,와인투유코리아,브루어 클리프턴,Brewer-Clifton,산타 리타 힐스,Santa Rita Hills
RED,"브레짜, 바롤로 깐누비","Brezza, Barolo Cannubi",14.5,3,3,1,2,17,96.3,185000,,,레뱅,브레짜,Brezza,칸누비,Cannubi
RED,"브루노 지아코사, 바르바레스코 아실리 리제르바","Bruno Giacosa, Barbaresco Asili Riserva",14.5,4,5,1,5,17,98,966000,,,에노테카코리아,부르노 지아코사,Bruno Giacosa,피에몬테,Piemonte
RED,"브루노 지아코사, 바롤로","Bruno Giacosa, Barolo",14.5,4,4,1,4,17,94.2,750000,,DOCG(DOP),에노테카코리아,부르노 지아코사,Bruno Giacosa,바롤로,Barolo
RED,"칸티나 길랑, 패트리샤 피노 누아","Cantina Girlan, Patricia Pinot Noir",13.5,3,3,1,2,15,92,80000,,,유니베브,칸티나 길랑,Cantina Girlan,트렌티노-알토 아디제,Trentino-Alto Adige
RED,"칸티나 길랑, 트라트만 피노누아 리세르바","Cantina Girlan, Trattmann Pinot Noir Riserva",14.5,3,3,1,2,15,92.3,200000,,,유니베브,칸티나 길랑,Cantina Girlan,트렌티노-알토 아디제,Trentino-Alto Adige
RED,"칸티네 델 보르고 레알레, 시데레우스 토스카나 로쏘","Cantine del Borgo Reale, Sidereus Toscana Rosso",14.5,3,3,1,3,17,96,64000,,,비노스와인,칸티네 델 보르고 레알레,Cantine del Borgo Reale,토스카나,Toscana
RED,"칼린 드 파올로, 바르베라 다스티","Carlin de Paolo, Barbera d'Asti 'Ad Libitvm'",13.5,3,4,1,3,17,91.8,40000,Italian Barbera,,동원와인플러스,칼린 드 파올로,Carlin de Paolo,아스티,Asti
RED,"깔린드 파올로, 바롤로","Carlin de Paolo, Barolo",14.5,3,4,1,3,15,92,106000,Italian Barolo,,동원와인플러스,칼린 드 파올로,Carlin de Paolo,바롤로,Barolo
RED,까로,Caro,14.5,2,5,1,5,17,94.5,160000,,,인터리커,카로 [보데가스 카로],Caro [Bodegas Caro],멘도사,Mendoza
