name_korean,name_english,aroma
"1881 나파, 카베르네 소비뇽","1881 Napa, Cabernet Sauvignon",리치
"1881 나파, 카베르네 소비뇽","1881 Napa, Cabernet Sauvignon",코코아
"1881 나파, 카베르네 소비뇽","1881 Napa, Cabernet Sauvignon",바닐라
아하리,Ahari,허브
"알프레드 그라티엔, 클래식 브뤼","Alfred Gratien, Classic Brut",감귤
"알프레드 그라티엔, 클래식 브뤼","Alfred Gratien, Classic Brut",버터
"알프레드 그라티엔, 퀴베 파라다이스 브뤼","Alfred Gratien, Cuvee Paradis Brut",아몬드
"알프레드 그라티엔, 퀴베 파라다이스 브뤼","Alfred Gratien, Cuvee Paradis Brut",버터
"알프레드 그라티엔, 퀴베 파라다이스 브뤼","Alfred Gratien, Cuvee Paradis Brut",파인애플
"알프레드 그라티엔, 퀴베 파라다이스 브뤼","Alfred Gratien, Cuvee Paradis Brut",브리오슈
"알프레드 그라티엔, 밀레짐 브뤼","Alfred Gratien, Millesime Brut",복숭아
"알프레드 그라티엔, 밀레짐 브뤼","Alfred Gratien, Millesime Brut",망고
"알프레드 그라티엔, 밀레짐 브뤼","Alfred Gratien, Millesime Brut",후추
"알레그리니, 팔라쪼 델라 토레","Allegrini, Palazzo Della Torre",건포도
"알레그리니, 팔라쪼 델라 토레","Allegrini, Palazzo Della Torre",자두
"알타 비스타, 아템포랄 블렌드","Alta Vista, Atemporal Blend",정향
"알타 비스타, 아템포랄 블렌드","Alta Vista, Atemporal Blend",블랙체리
"알타 비스타, 아템포랄 블렌드","Alta Vista, Atemporal Blend",블랙베리
"알타 비스타, 아템포랄 블렌드","Alta Vista, Atemporal Blend",후추
"알타 비스타, 아템포랄 블렌드","Alta Vista, Atemporal Blend",제비꽃
"알타 비스타, 싱글 빈야드 테미스","Alta Vista, Single Vineyard Temis",자두
"알타 비스타, 싱글 빈야드 테미스","Alta Vista, Single Vineyard Temis",오크
"알타 비스타, 싱글 빈야드 테미스","Alta Vista, Single Vineyard Temis",라스베리
알루아도 샤도네이,Aluado Chardonnay,라임
"알바로 팔라시오스, 페탈로스","Alvaro Palacios, Petalos",미네랄
"알바로 팔라시오스, 페탈로스","Alvaro Palacios, Petalos",배
"알바로 팔라시오스, 페탈로스","Alvaro Palacios, Petalos",꽃
"알바로 팔라시오스, 페탈로스","Alvaro Palacios, Petalos",블루베리
"앙드레 끌루에, 브뤼 나뛰르 실버","Andre Clouet, Brut Nature Silver",레몬
"앤드류 윌, 샴푸 빈야드","Andrew Will, Champoux Vineyard",체리
"앤드류 윌, 샴푸 빈야드","Andrew Will, Champoux Vineyard",리치
"앤드류 윌, 샴푸 빈야드","Andrew Will, Champoux Vineyard",오크
"앤드류 윌, 소렐라 레드 와인","Andrew will, Sorella Red Wine",타바코
"앤드류 윌, 소렐라 레드 와인","Andrew will, Sorella Red Wine",블랙베리
"앤드류 윌, 투 블론즈 빈야드 레드 와인","Andrew Will, Two Blondes Vineyard Red Wine",허브
"앤드류 윌, 투 블론즈 빈야드 레드 와인","Andrew Will, Two Blondes Vineyard Red Wine",타바코
앙또냉 귀용 볼네 프리미에 크뤼 끌로 데 셴느,Antonin Guyon Volnay Premier Cru Clos des Chenes,오크
"아지엔다 아그리콜라 베라, 바르바레스코","Azienda Argicola Bera, Barbaresco",꽃
"아지엔다 아그리콜라 베라, 바르바레스코","Azienda Argicola Bera, Barbaresco",바닐라
"아지엔다 아그리콜라 베라, 바르바레스코","Azienda Argicola Bera, Barbaresco",석류
"아소르스, 뷸카니코 블랑코","Azores, Vulcanico Branco",미네랄
"바넷 빈야즈, 카버네 소비뇽","Barnett Vineyards, Cabernet Sauvignon",블랙베리
"바넷 빈야즈, 카버네 소비뇽","Barnett Vineyards, Cabernet Sauvignon",민트
"바넷 빈야즈, 카버네 소비뇽","Barnett Vineyards, Cabernet Sauvignon",아니스
"바넷, 멀롯","Barnett Vineyards, Merlot",시나몬
"바넷, 멀롯","Barnett Vineyards, Merlot",미네랄
"바넷, 멀롯","Barnett Vineyards, Merlot",토스트
"바스 필립, 크라운 프린스 피노누아","Bass Phillip, Crown Prince Pinot Noir",자두
"바스 필립, 에스테이트 샤르도네","Bass Phillip, Estate Chardonnay",캐슈넛
"바스 필립, 에스테이트 샤르도네","Bass Phillip, Estate Chardonnay",오렌지
"바스 필립, 에스테이트 샤르도네","Bass Phillip, Estate Chardonnay",복숭아
"바스 필립, 에스테이트 샤르도네","Bass Phillip, Estate Chardonnay",꿀
"바스 필립, 에스테이트 피노누아","Bass Phillip, Estate Pinot Noir",자두
"바스 필립, 프리미엄 피노 누아","Bass Phillip, Premium Pinot Noir",허브
"바스 필립, 프리미엄 피노 누아","Bass Phillip, Premium Pinot Noir",체리
"바스 필립, 리저브 피노 누아","Bass Phillip, Reserve Pinot Noir",허브
"바스 필립, 리저브 피노 누아","Bass Phillip, Reserve Pinot Noir",흙
"바스 필립, 리저브 피노 누아","Bass Phillip, Reserve Pinot Noir",체리
"바스 필립, 리저브 피노 누아","Bass Phillip, Reserve Pinot Noir",바닐라
"베드락, 헤리티지 레드와인","Bedrock, Heritage Red Wine",블랙베리
"베드락, 헤리티지 레드와인","Bedrock, Heritage Red Wine",오렌지
"베드락, 헤리티지 레드와인","Bedrock, Heritage Red Wine",감초
"베드락, 올드 바인 진판델","Bedrock, Old Vine Zinfandel",블랙베리
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",블랙베리
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",블랙체리
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",시나몬
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",잼
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",블루베리
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",후추
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",삼나무
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",자두
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",미네랄
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",바닐라
"벤 마르코, 익스프레시보","Ben Marco, Expresivo",제비꽃
