name_korean,name_english,grape_name_korean,grape_name_english
"1881 나파, 카베르네 소비뇽","1881 Napa, Cabernet Sauvignon",쁘띠 베르도,Petit Verdot
"1881 나파, 카베르네 소비뇽","1881 Napa, Cabernet Sauvignon",메를로,Merlot
"1881 나파, 카베르네 소비뇽","1881 Napa, Cabernet Sauvignon",말벡,Malbec
"1881 나파, 카베르네 소비뇽","1881 Napa, Cabernet Sauvignon",카베르네 소비뇽,Cabernet Sauvignon
"1881 나파, 카베르네 소비뇽","1881 Napa, Cabernet Sauvignon",카베르네 프랑,Cabernet Franc
아하리,Ahari,그라시아노,Graciano
아하리,Ahari,템프라니요,Tempranillo
아하리,Ahari,비우라,Viura
"알프레드 그라티엔, 클래식 브뤼","Alfred Gratien, Classic Brut",피노 뮈니에,Pinot Meunier
"알프레드 그라티엔, 클래식 브뤼","Alfred Gratien, Classic Brut",샤르도네,Chardonnay
"알프레드 그라티엔, 클래식 브뤼","Alfred Gratien, Classic Brut",피노 누아,Pinot Noir
"알프레드 그라티엔, 퀴베 파라다이스 브뤼","Alfred Gratien, Cuvee Paradis Brut",피노 누아,Pinot Noir
"알프레드 그라티엔, 퀴베 파라다이스 브뤼","Alfred Gratien, Cuvee Paradis Brut",샤르도네,Chardonnay
"알프레드 그라티엔, 밀레짐 브뤼","Alfred Gratien, Millesime Brut",샤르도네,Chardonnay
"알프레드 그라티엔, 밀레짐 브뤼","Alfred Gratien, Millesime Brut",피노 뮈니에,Pinot Meunier
"알프레드 그라티엔, 밀레짐 브뤼","Alfred Gratien, Millesime Brut",피노 누아,Pinot Noir
"알레그리니, 팔라쪼 델라 토레","Allegrini, Palazzo Della Torre",코르비노네,Corvinone
"알레그리니, 팔라쪼 델라 토레","Allegrini, Palazzo Della Torre",산지오베제,Sangiovese
"알레그리니, 팔라쪼 델라 토레","Allegrini, Palazzo Della Torre",론디넬라,Rondinella
"알레그리니, 팔라쪼 델라 토레","Allegrini, Palazzo Della Torre",코르비나,Corvina
"알타 비스타, 아템포랄 블렌드","Alta Vista, Atemporal Blend",쁘띠 베르도,Petit Verdot
"알타 비스타, 아템포랄 블렌드","Alta Vista, Atemporal Blend",말벡,Malbec
"알타 비스타, 아템포랄 블렌드","Alta Vista, Atemporal Blend",카베르네 소비뇽,Cabernet Sauvignon
"알타 비스타, 싱글 빈야드 테미스","Alta Vista, Single Vineyard Temis",말벡,Malbec
알루아도 샤도네이,Aluado Chardonnay,샤르도네,Chardonnay
