name_korean,name_english,region_name_korean,region_name_english
1881 나파,1881 Napa,미국,U.S.A
알프레드 그라티엔,Alfred Gratien,프랑스,France
알레그리니,Allegrini,이탈리아,Italy
알타 비스타,Alta Vista,아르헨티나,Argentina
알바로 팔라시오스,Alvaro Palacios,스페인,Spain
앙드르 끌루에,Andre Clouet,프랑스,France
앤드류 윌 와이너리,Andrew Will Winery,미국,U.S.A
앙또넹 기용,Antonin Guyon [Domaine Antonin Guyon],프랑스,France
아지엔다 아그리콜라 베라,Azienda Agricola Bera,이탈리아,Italy
아소르스 와인 컴퍼니,Azores Wine Company,포르투갈,Portugal
바넷 빈야즈,Barnett Vineyards,미국,U.S.A
바스 필립,Bass Phillip,호주,Australia
베드락 와인,Bedrock Wine,미국,U.S.A
벤 마르코,Ben Marco,아르헨티나,Argentina
비비 그라츠,Bibi Graetz,이탈리아,Italy
브리스데일,Bleasdale,호주,Australia
보데가 차크라,Bodega Chacra,아르헨티나,Argentina
보데가 이 비네도스 산 폴로,Bodega y Vinedos San Polo,아르헨티나,Argentina
보데가스 카레,Bodegas Care,스페인,Spain
보데가스 넬레만,Bodegas Neleman,스페인,Spain
보데가스 볼베르,Bodegas Volver,스페인,Spain
보글 빈야드,Bogle Vineyards,미국,U.S.A
볼랭저,Bollinger,프랑스,France
본드 에스테이트,Bond Estates,미국,U.S.A
브란콧 이스테이트,Brancott Estate,뉴질랜드,New Zealand
브루어 클리프턴,Brewer-Clifton,미국,U.S.A
브레짜,Brezza,이탈리아,Italy
부르노 지아코사,Bruno Giacosa,이탈리아,Italy
칸티나 길랑,Cantina Girlan,이탈리아,Italy
칸티네 델 보르고 레알레,Cantine del Borgo Reale,이탈리아,Italy
칼린 드 파올로,Carlin de Paolo,이탈리아,Italy
카로 [보데가스 카로],Caro [Bodegas Caro],아르헨티나,Argentina
카르페 디엠,Carpe Diem,미국,U.S.A
까르피네토,Carpineto,이탈리아,Italy
카잘 파르네토,Casal Farneto,이탈리아,Italy
카시나 치쿠,Cascina Chicco,이탈리아,Italy
카스텔로 디 폰테루톨리,Castello di Fonterutoli,이탈리아,Italy
카스텔로 디 몬테포,Castello di Montepo,이탈리아,Italy
카스텔로 디 퀘르체토,Castello di Querceto,이탈리아,Italy
까테나 자파타,Catena Zapata,아르헨티나,Argentina
케이머스 빈야드,Caymus Vineyards,미국,U.S.A
셀러 드 카프샤네스,Celler de Capcanes,스페인,Spain
샴페인 부와젤,Champagne Boizel,프랑스,France
샴페인 드 브노쥬,Champagne de Venoge,프랑스,France
샹파뉴 드보,Champagne Devaux,프랑스,France
샴페인 드라피에,Champagne Drappier,프랑스,France
샴페인 유진 쓰리,Champagne Eugene III,프랑스,France
샴페인 르 브룬 드 누빌,Champagne Le Brun de Neuville,프랑스,France
샤를 엘너,Charles Ellner,프랑스,France
샤를 오르방,Charles Orban,프랑스,France
샤또 바따이,"Chateau Batailley, Grand Cru Classe,5th Cru",프랑스,France
샤또 브라네르 뒤크뤼,"Chateau Branaire-Ducru, Grand Cru Classe,4th Cru",프랑스,France
샤또 시트랑,Chateau Citran,프랑스,France
샤또 끌리네,Chateau Clinet,프랑스,France
샤또 드 보카스텔,Chateau de Beaucastel,프랑스,France
샤또 드 페즈,Chateau de Pez,프랑스,France
샤또 드 뽀띠롱,Chateau de Potiron,프랑스,France
샤또 피작,"Chateau Figeac, 1st Grand Cru Classe B",프랑스,France
샤또 장 파우레,Chateau Jean Faure,프랑스,France
샤또 마고,"Chateau Margaux, 1st Grand Cru Classe",프랑스,France
샤또 몬텔레나,Chateau Montelena,미국,U.S.A
샤또 퐁테 카네,"Chateau Pontet Canet, Grand Cru Classe,5th Cru",프랑스,France
샤또 생진,Chateau St. Jean,미국,U.S.A
샤토 생미셸,Chateau Ste.Michelle,미국,U.S.A
샤또 딸보,"Chateau Talbot, 4th Grand Cru Classe",프랑스,France
치아봇 베르통,Ciabot Berton,이탈리아,Italy
클리프 레이디,Cliff Lede,미국,U.S.A
끌로 뒤 셀리에,Clos du Cellier aux Moines,프랑스,France
끌로 케브라다 드 마쿨,Clos Quebrada de Macul,칠레,Chile
콜도르치아,Col d'Orcia,이탈리아,Italy
콜레프리지오,Collefrisio,이탈리아,Italy
콘트라또,Contratto,이탈리아,Italy
다나 에스테이트,Dana Estates,미국,U.S.A
다리우쉬,Darioush,미국,U.S.A
드 샹세니,De Chanceny,프랑스,France
들라스,Delas,프랑스,France
델리카토 패밀리 빈야드,Delicato Family Vineyards - DFV,미국,U.S.A
도츠,Deutz [Champagne Deutz],프랑스,France
DFJ 비노스,DFJ Vinhos,포르투갈,Portugal
디왈드 와인,Diwald Wine,오스트리아,Austria
돔 꾸드론,Dom Caudron,프랑스,France
도멘 앤더슨 에스테이트,Domaine Anderson Estate,미국,U.S.A
도멘 쟝 마크 브와이요,Domaine Jean Marc Boillot,프랑스,France
도멘 마르셀 다이스,Domaine Marcel Deiss,프랑스,France
도멘 세귀노 보르데,Domaine Seguinot Bordet,프랑스,France
도멘 생미셸,Domaine Ste.Michelle,미국,U.S.A
